,data,label
133,"UHLA LELWE wumsebenzi onzima uMengameli Cyril Ramaphosa njengoba yonke iminyakazo yakhe yokuqoka uMqondisi wezokuShushiswa koMphakathi izoqashwa ngeso lokhozi.
Izazi zomthetho zisho lokhu emuva kokuthi iJaji Mbuyiseli Madlanga linqume ukuthi ukuqokwa kuka-Adv Shaun Abrahams akukho emthethweni ngoba wangena esikhundleni sika-Adv Mxolisi Oliver Nxasana owaxoshwa ngaphandle kokulandela uMthethosisekelo. 
","crime, law and justice"
134,"ABAHLAZIYI bepolitiki bathi uMengameli Cyril Ramaphosa uzama ukugaya amavoti njengoba kubhekwe okhethweni lwangonyaka ozayo, ngokusheshisa udaba lokuguqula isigatshana u25 soMthethosisekelo othinta udaba lo mhlaba.
NgoLwesibili ebusuku uRamaphosa uvele kuSABC ememezela ukuthi i-ANC izovotela ukuthi kuchitshiyelwe lesi sigaba 25 soMthethosisekelo ukuze ithathe umhlaba wabantu abazimele ngaphandle kwesinxephezelo iwunike abawuswele. 
",politics
135,"KUBULAWE umfowabo wombhali wengosi yocansi kwiSolezwe ngoMgqibelo, odutshulwe abantu abangaziwa washona nesihlobo sakhe entathakusa izolo eSigqumeni, KwaSwayimane.
UMnuz Gceno Gumede (41) noMnuz Thobani Gumede (25), bahlaselwe abantu bavulela ngenhlamvu behamba nabafana bendawo ngemoto ngezithuba zabo-3 ekuseni izolo. Kuthiwa bebeyovula amamitha amanzi endaweni. Kulesi sigameko kuthiwa kulimale kanzima abanye abathathu abanye bathola imihuzuko.
","crime, law and justice"
136,"MHLELI: Njalo ngoJulayi singamadoda aziphatha kahle siyabikelwa ngoba amadoda agxekwa ngapha nangapha. Amadoda angabadlwenguli, amadoda awondli, amadoda ahlukumeza abesifazane, kuze kube nemashi emashela ukuhlukunyezwa kwabesifazane nezingane.
Mhleli kuliqiniso ukuthi kukhona amadoda ahlukumeza abesifazane nezingane. Kuliqiniso futhi ukuthi kukhona amadoda amahle akholwayo njengami nje. Kuliqiniso ukuthi bakhona nabesifazane abahlukumeza amadoda; isibonelo abesifazane abondlisa abesilisa izingane okungezona ezabo. Bakhona abesifazane abazala izingane bazilahle emgqonyeni kadoti. Bakhona abesifazane abathelela amadoda ngeHIV ngamabomu. Bakhona abesifazane ababhanqa amadoda bewakhwahle imali. 
","crime, law and justice"
137,"OWAYEYIPHINI likaNgqongqoshe emnyangweni wezimali, uMnuz Mcebisi Jonas, noNksz Vytjie Mentor, owayeyilungu lePhalamende emele i-ANC, bangabokuqala abazothula ubufakazi kwikhomishini eholwa yijaji uRaymond Zondo ephenya ngezinsolo zokulawulwa kombuso yidlanzana.
Kulindeleke ukuthi bafakaze mayelana nezinsolo zokuthi umndeni wakwaGupta wawunezwi uma kuqokwa ongqongqoshe nabazophatha izinkampani zikahulumeni ngesikhathi uMnuz Jacob Zuma esengumengameli wezwe. 
","economy, business and finance"
138,"LUBUKEKA lusazowudala umsindo udaba lokubuyiselwa komhlaba ngaphandle kwesinxephezelo emuva kokuthi uMengameli uMnuz Cyril Ramaphosa egcizelele ukuthi uhulumeni akahlehli esinqumeni sakhe.
Udaba lokubuyiswa komhlaba luke lwadala imvunge emuva kombiko wethimba ebeliholwa nguMnuz Kgalema Motlanthe owabe engumengameli wezwe, elancoma ukuthi kubuyekezwe umthetho iNgonyama Trust eyengamele umhlaba KwaZulu-Natal. Lokhu kwabonakala kuwunyakazisa uZulu njengoba uNdunankulu kaZulu uMntwana Mangosuthu Buthelezi wabonakala ekhala izinyembezi esikhumbuzweni sempi yaseSandlwana ekuqaleni kwalo nyaka. Wayephawula ngalolu daba ethi ubona sengathi luzoqala utavatava azohamba emhlabeni alushiye neSilo uZwelithini kaBhekuzulu.
","crime, law and justice"
139,"UMHOLI we-IFP, inkosi Mangosuthu Buthelezi, ukhwele wadilika kubaholi benhlangano yakhe abasola ngokukhwabanisa imali ecishe ibe ngaphezu kuka-R3 million yobulungu.
Ekhuluma enkundleni yezemidlalo kwa-C KwaMashu izolo, emcimbini wokwethula umkhankaso weqembu njengoba kubhekwe okhethweni lukazwelonke ngonyaka ozayo, uButhelezi uchaze abaholi abebe le mali njengamasela wathi kumele bayibuyise.
","crime, law and justice"
140,"UKUBOSHWA kukaMnuz Mike Mabuyakhulu owayenguNgqongqoshe wezokuThuthukiswa koMnotho nezokuVakasha KwaZulu-Natal, okube undabamlonyeni kuleli sonto kushiye abaningi bekhexile bezibuza imibuzo eminingi. 
UMabuyakhulu ungena kuleli hlazo nje ubesanda kuqokwa esikhundleni sokuba umgqugquzeli ohlakeni lwesikhashana lobuholi be-ANC esifundazweni. Ukuboshwa kwakhe kumayelana nomkhonyovu wemali enguR28 million okuthiwa yabhubhudlwa njengamanzi. 
",politics
141,"OWESIFAZANE wasesigodini eNdluzeleni emaChunwini, eMsinga, uthi uxoshiswe okwenja enethile emzini wakhe, ngesikhathi ezozila njengoba eshonelwe wumyeni.
UNkz Zandile Mchunu (42) oshadele kwaNgubane kodwa obiza isibongo sakubo, uthi uxoshwe ngesikhathi eyozilela umnyeni wakhe uMnuz Vusi Ngubane (44) oshone emuva kokuzidubula ngoMsumbuluko emzini wabo. Umkamufi uthi wahamba kwakhe ngoJanuwari nezingane zakhe ezimbili waya eGoli.
","crime, law and justice"
142,"AKUJWAYELEKILE ukuthi abantu abamnyama bakhombise ukuthandana ngisho sebeguga ngoba kwaziwa ukuthi ngabezinye izinhlanga abenza kanjalo.
Kuhlukile kuNkk Thandi Ngonelo (65) nomyeni wakhe uMfundisi Eddie Ngonelo (66), abangabeluleki kwezomshado abangofakazi bokuthi uthando alugugi. Bangabaholi be-Act of Obedience Ministries eThekwini kodwa bayaziwa nakwezinye izifundazwe ngomsebenzi wokweluleka. 
",society
143,"LISHONE elayizolo kuchwaza ezinkundleni zokuxhumana ngemuva kokusabalala kwemibiko yokuthi usukhushulelwe ku-R1 million umehlokaboni womuntu ozosisa oKlebe ukuthi babophe izelamani zakwaGupta noMnuz Duduzane Zuma, oyindodana wowayengumengameli wakuleli uMnuz Jacob Zuma.
Isikhulu esiphezulu senkampani ezinze eKapa iSygnia Tech Solutions uMagda Wierzycka, ubhale ekhasini lakhe kuTwitter ukuthi uzimisele ukukhipha uR500 000 ngaphezu kwekhishwe inhlangano yezomthetho iForensics For Justice ukuze kubanjwe abakwaGupta,o-Ajay, Atul noTony Gupta noDuduzane.
","crime, law and justice"
144,"ZISABISA ngokuphinda zivale umgwaqo kusasa izitshudeni zase-University of South Africa (UNISA), eThekwini uma zingayitholi incazelo ecacile mayelana nokuxhaswa kwazo yisikhwama sezimali iNational StudentsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ Financial Aid Scheme, iNSFAS.
Lezi zitshudeni zikusho lokhu ngesikhathi zizokweseka ozakwabo oSamukelisiwe Ndlovu, Nompumelelo Nduli noMlekeleli Shandu abebevele enkantolo yeMantshi eThekwini izolo ngecala lokususa udlame emphakathini. 
",education
145,"UMHOLI weDA KwaZulu-Natal uMnuz Zwakele Mncwango uthi iqembu labo lizimisele ngokuheha intsha njengoba lisemkhankasweni wokwehlisa amandla kaKhongolose abe ngaphansi kuka-50%, okhethweni lukazwelonke ngonyaka ozayo.
Esithangamini nabezindaba eThekwini izolo, uMncwango uthe sebejube uNksz Mbali Ntuli ukuthi kube nguyena iNhloko yezemikhankaso eqenjini ngenhloso yokufeza iphupho labo lokudonsa ivoti labantu abasha.
",politics
146,"Sike sizibuze yini umbuzo othi; yini lena entshontsha abantu abaningi bakithi, futhi bashona ngendlela ecishe ifane? Abantu abaningi abashona kungazelele muntu. Kwabaningi esingike ngababona ukudlula kwabo emhlabeni kujikeleza ekuphundulukeni ukusebenza kwenhliziyo uqobo nasekuqhugeleni kwezinye izitho zomzimba ezishesha zizwele enhliziyweni ngenxa yokusebenzisana kwazo nenhliziyo, kuhlanganisa nomzimba wonke nje.
 Abantu bakithi bahamba emhlabeni beqale bakhale ngovalo olushaya kugubhuzele isifuba, kuphele amandla, iphika nokucinana kuthi ngilapha. Umuntu ahefuzele aze ashone. Lolu valo kwabaningi lusuke lukade lwaqala ukuhlupha kwesinye isikhathi kuze kuphele amandla. 
","crime, law and justice"
147,"ILUNGU lesigungu esiphezulu kwi-ANC uMnuz Bheki Cele, likhwele ladikila kuNobhala-jikelele kaKhongolose uMnuz Ace Magashule lathi ubulala umbutho ngalezi zinkulumo alokhu ezenza esidlangalaleni.
Ekhuluma emgubhweni weminyaka engu-106, i-ANC yasungulwa enkundleni yezemidlalo eLakeside Sport Ground, eVryheid izolo, uCele uthe sebembonile ukuthi uMagashule usemkhankasweni wokucekela phansi uKhongolose.
",politics
148,"ILUNGU le-ANC eladutshulwa lisemhlanganweni wokukhetha ababezomela le nhlangano okhethweni lohulumeni basekhaya ngo-2016 lifuna kuqiniswe ezokuphepha uma sekunemihlangano yamagatsha yokulungiselela ingqungquthela yokukhetha ubuholi be-ANC KwaZulu-Natal ngo-Ephreli.
UMnuz Hlanganani Nxumalo (33) waseBlaauwbosch, ngasoSizweni eNewcastle, owadubuleka engalweni wafakwa insimbi, uthe kuyadingeka kuqiniswe ezokuphepha njengoba kwezinye izifunda lungekho uzinzo ngenxa yokuhlukana phakathi ngesikhathi kuyiwa engqungqutheleni yokukhetha ubuholi be-ANC eyayingoDisemba eNasrec, eGoli.
",politics
149,"LWASHO lwangisuka lolo fufunyane lwami oluthi mangihlokoloze leyo mpahla ngicele bonke abafundi bale ngosi ukuthi bajeqeze izibuko zezinqola zabo baqinisekise ukuphepha maqede balandele lo myalelo.
Lo myalelo uqondile uthi sonke masishaye ama hazard siqinisekise ukuthi sichezuka ngokwanele emgwaqweni ukuze izimoto ezisaqhubeka nohambo zingaphazamiseki nakancane.
","crime, law and justice"
150,"UZIKHETHELE ukuba agqunywe ejele ngoba enovalo lokuthi uzohlaselwa wumphakathi owesilisa obhekene necala lokudlwengula nokubulala isalukazi esineminyaka ewu-107 eMagwababeni eMpophomeni ngaphandle kwaseMgungundlovu.
UMnuz Sanele Mthethwa (36) izolo uvele enkantolo yaseHowick nalapho etshele khona inkantolo ukuthi ufuna ukuhlanza konke ngokwenzekile kodwa iMantshi uNkk Ntsoaki Khakane yamnqanda yathi kumele athole ummeli kuqala. 
","crime, law and justice"
151,"UMNDENI kaMengameli Jacob Zuma ugcine ukhiphe isitatimende ufongqa isigqoko uxolisa emphakathi ngenkulumo kankosikazi wakhe, uNkk Thobeka Madiba-Zuma ebisematheni ku-Instagram nakuTwitter ngoLwesihlanu.
Unkosikazi kamengameli ubefake imiyalezo ku-Instagram esonga ngokuthi labo abazama ukulwa nomyeni wakhe bazozisola. Kwenzeka lokhu nje kusabalele izinkulumo ezithi uZuma uhleli ngesinqe esisodwa njengoba enxenxwa ukuba ashenxe esikhundleni.
",politics
152,"Ukuhwebelana phakathi kwamazwe kusho ukushintshana ngezimali zamazwe ezihlukene. Uma inkampani eseNingizimu Afrika ifuna ukuthenga ukolweni eNdiya, kufanele ishintshe amaRandi abe yimali yaseNdiya iRupee.
Ngokufanayo uma inkampani eseJapan ifuna ukuthenga iwayini eNingizimu Afrika kufanele ishintshe amaYen iwayise emaRandini ukuze ikwazi ukukhokhela iwayini lelo. Ukusimama kweRandi kunezimali zamanye amazwe kusho ukuthi sikwazi ukuthenga okuningi kunakuqala noma izimpahla ezivela kwamanye amazwe zibonakala zishibhile. 
","economy, business and finance"
153,"USAPHITHENE amakhanda umndeni webhungu (21) okuthiwa liklabhe lalimaza unina, labulala abashana balo ababili libagenca ngobhushu, maqede lashayiswa yiloli lashona, eBhobhoyi.
Umndeni kaMnuz Siphamandla Smith awuwuvali umlomo ngesigameko esihlasimulisa umzimba esidlule nemiphefumulo yabashana bakhe uSiyamthanda (3) noThobani (2) okuthiwa bahlaselwe nguye ngobhushu izolo ekuseni, emuva kwehora lesithupha. Kuthiwa unina, uNkk Marry Smith usindile kulesi sigameko kodwa usesimeni esibi esibhedlela.
","crime, law and justice"
154,"BAKHATHAZEKILE abazali babafundi baseMlazi Com Tech High eMlaza, okuthiwa sebephuthwa ukufunda ngenxa yenkinga yokucishwa kukagesi. Isolezwe lithole ukuthi sekuphele isonto ugesi ungekho kulesi sikole esinabafundi abahlala ngaphakathi. Phezu kokucishwa kukagesi, kuphinde kwaphela namanzi, okwenza ukuthi izingane ezihlala emakubo zisheshe zigodukiswe. Kuthiwa isikole sikweleta uMasipala weTheku imali elinganiselwa kuR4 million. Okukhathaza abazali ukuthi abakaze batshelwe ngale nkinga yesikweletu.
Umzali wengane efunda uGrade 9 kodwa engahlali ngaphakathi esikoleni, uthe isimo simanzonzo. 
",education
155,"NGESIKHATHI oKlebe bematasa befuna uMnuz Ajay Gupta ngamacala enkohlakalo nokushushumbisa imali, umfowabo uMnuz Atul Gupta ufake amaphepha enkantolo esho ukuthi akazani noR10 million okuthiwa wangena kwi-akhawunti yakhe usuka epulazini i-Estina.
Kuvela ukuthi amaphepha akhe uwasayine ngoFebhuwari 8 eseDubai kanti ufuna i-Asset Forfeiture Unit (AFU) iyeke ukudla impahla yakhe.
","economy, business and finance"
156,"LUTHATHE elinye igxathu udaba lwekusasa leNhloko yezokuShushisa kuleli u-Advocate Shaun Abrahams njengoba uMengameli Cyril Ramaphosa, enqume ukuhoxisa isicelo sokwedluliswa kwesinqumo senkantolo. 
NgoLwesihlanu abammeli behhovisi likamengameli, ngomyalelo kaRamaphosa bahoxise lesi sicelo sokwedluliswa kodaba olwalufakwe uMnuz Jacob Zuma obengumengameli wezwe. UZuma wadlulisa isinqumo seNkantolo eNkulu iNorth Gauteng eyayithe ukuqokwa kuka-Abrahams kwakungekho emthethweni, yancoma ukuthi axoshwe. 
",politics
157,"INGCABA isisele noNgqongqoshe wezeziMali uMnuz Malusi Gigaba, ukuthi acacise kabanzi ngodaba lwemfundo yamahhala ezikhungweni zemfundo ephakeme kuleli. Lokhu kushiwo uMengameli Cyril Ramaphosa enkulumweni yakhe ebhekiswe esizweni ngoLwesihlanu ePhalamende eCape Town. Olwemfundo yamahhala lumenyezelwe obengumengameli uMnuz Jacob Zuma ngoDisemba engqungutheleni ye-ANC yokukhetha ubuholi eNasrec, eGoli. 
Kube nemibuzo eminingi amaqembu aphikisayo ekhala ngokuthi kufanele izikhulu zenabe ngokuthi imali izophumaphi.
",education
158,"SIZWAKELE isikhalo somphakathi obufuna kufakwe uMnuz Bheki Cele abe wuNgqongqoshe wezamaPhoyisa njengoba uMengameli Cyril Ramaphosa ememezele ukuthi uzongena kulesi sikhundla ngesikhathi ememezela izinguquko kwiKhabhinethi yakhe izolo ebusuku.
UDkt Zweli Mkhize, obengumgcinimafa we-ANC, ngomunye wabantu abamenyezelwe ukuthi uma esefungisiwe namhlanje njengamalungu ePhalamende uzothatha isikhundla sokuba nguNgqongqoshe wezokuBusa ngokuBambisana neziNdaba zoMdabu.
",politics
159,"UMENGAMELI Jacob Zuma akanabo abamelulekayo noma kungenzeka ukuthi akabalaleli ngoba ukudaza inkani angehli esikhundleni kuzomlahlekisela ngokuningi. Usho kanje umhlaziyi wepolitiki ozimele uMnuz Thabani Khumalo.
Uthe ukudaza inkani kukaMengameli aze alibeke ngembaba elokuthi akesabi noma angashaywa ngevoti lokungabethembi ubuholi bakhe nokubekwa icala lokuphula umthethosisekelo kuzokwenza angazitholi izimfanelo zakhe uma esephumile. 
","crime, law and justice"
160,"ZIKUFANISE nebhonasi ukunyuka kwemali yempesheni izaguga, ezithe kuzokwenza omkhulu umehluko.
Lezi zaguga ezihola impesheni yabadala, beziphawula ngesabelomali esethulwe izolo nguNgqongqoshe wezeziMali uMnuz Malusi Gigaba esizoqala ukusebenza ngo-Ephreli 1. Imali yempesheni yabadala, eyezintandane neyokugula yenyuke ngoR90 isuka kuR1 600. UGigaba umemezele ukuthi le mpesheni izophinde yenyuke ngoR10 ngo-Okthoba 1, okuzokwenza eyabadala neyokukhubazeka igcine inguR1 700. 
","economy, business and finance"
161,"BAZITAPELE izimpahla negilosa emzini kamakhelwane wabo abantu baseChesterville abebemsola ngokubakhokhisa imali abethi eyokugwazela umsebenzi wakwaMasipala weTheku.
Izolo, labo makhelwane abebegane unwabu bathe umakhelwane wabo uNkk Cabangile Cele-Zikhali, ubebathembise ukuthi bazoqala emsebenzini ngoMsombuluko. Kuthe sekumele baqale wathi abaye emahhovisi ophiko oluqoqa intela kuleli iSouth African Revenue Service (Sars) bayofuna izinombolo zokukhokha intela.
","crime, law and justice"
162,"IHLEKA yodwa imilutha yewunga ehlala edolobheni eThekwini njengoba sekuqalwe phansi ukubhaliswa kwabafundi, e-University of South Africa (Unisa), emuva kokumiswa kwesiteleka sabasebenzi.
Kuthiwa le milutha idela ubuthongo ijoyine ulayini wabafundi abalala ngaphandle kwesikhungo sase-Unisa esisemgwaqweni uStalwart Simelane, eThekwini, ukuze idayisele abafundi abafika ekuseni izikhala kulayini.
","crime, law and justice"
163,"
BAPHUTHUNYISWE esibhedlela, iSt Mary's, eMariannhill, entshonalanga yeTheku kukubi odado abahlanu baseWushwini, ngaseMolweni abagandaywe yitekisi ngesikhathi bebuka Uzalo ngoLwesihlanu ebusuku. Lezi zingane okunguThembela (5), Simiso (7), Zothule Mthembu (6), Snethemba Gumede (9) noNoluthando Mfeka (12) kuthiwa zehlelwe yile nkinga unina engekho eseGreytown lapho bekuzoba nomngcwabo kanina omzalayo, uninakhulu walezi zingane.
",society
164,"AQHUBEKILE nokucela ibheyili namhlanje amadoda ayisikhombisa asolwa ngokuba ngongqondongqondo ekubulaweni kwabantu ehostela laseMlaza, iGlebelands.
USergeant Bhekukwazi Mdweshu (37), Mnuz Vukani Mcobothi (25), Mnuz Khayelihle Mbuthuma (32), Mnuz Wonderboy Mhlope (37), Mnuz Matlala Mdweshu Ntshangase (35), Mnuz Mahliphiza Mkhize (28) noMnuz Mondli Mthethwa (32) bavele enkantolo kaMantshi yaseThekwini izolo. 
","crime, law and justice"
165,"UYADLONDLOBALA umkhankaso wokulwa nokulawulwa kombuso yidlanzana njengoba iPhini likaMengameli wezwe eliphinde libe nguMengameli we-ANC, uMnuz Cyril Ramaphosa, lithe mabashushiswe abathintekayo. Kuyimanje i-Asset Forfeiture Unit (AFU) isembhidlangweni wokubuyisa u-R50 billion owathathwa ezinkampanini zikahulumeni.
NgoLwesine iNational Prosecuting Authority ibinomhlangano nabameli bakwaMcKinsey nabakwaTrillion okuyizinkampani okusolakala ukuthi zakhokhelwa u-R1.6 billion ngokungemthetho ngabakwa-Eskom. 
","crime, law and justice"
166,"ZINGAPHEZU kuka-12 izikhulu eziqaphe izinto kuhulumeni nalabo ababheke ukugcinwa komthetho abazungeza izinkampani nosomabhizinisi abasebenzisana nomndeni wakwaGupta kufunwa uR50 billion owaluthwa ezinkampanini zikahulumeni.
I-National Prosecuting Authority (NPA), Asset Forfeiture Unit (AFU), Specialised Commercial Crime Unit, aboMnyango weziMali, iFinancial Intelligence Centre, iCompanies and Intellectual Property Commission noKlebe bayasebenzisana kulo mzamo. Inhloko esabambile ye-AFU, u-Adv Knox Molelle, ithe basathumela amasamanisi kwabakwaGupta ophenyweni olusaqhubeka ngalabo abathinteka embikweni woMvikeli woMphakathi wokulawulwa kombuso yidlanzana. 
",politics
167,"Ukufika kwe-internet kule minyaka kuyishintshe kakhulu impilo. Kwafika neselula okwenza kwaba lula ukuxhumana. Yize ukufika kweselula kwathuthukisa indlela yokuphila, ushintsho lwangempela lubonakale lapho kufika lawa abizwa ngama-smart phone okwasho ukuthi amaselula asene-internet.
Lokhu kwasho ukuthi sesikwazi ukuthola nokuthumela imiqulu (documents), imali, izithombe, umculo nokunye okuningi. Ngisho abantu abangenawo ama-akhawunti asebhange namhlanje bayakwazi ukuthola imali besebenzisa wona belu amaselula ane-internet. 
",society
168,"UKUSHODELWA yimali yokuthenga abaqwayizi kuholele ekutheni umfundisi osindisiwe adlwengule izingane zamantombazane ezingaphezu kuka-15, ezineminyaka esukela kwewu-3 kuya kwewu-12, emijondolo yaseLouisiana ePort Shepstone. 
Lezi zindaba zidalulwe wumndeni walo mfundisi, uThokozani Mvalelwa (34), ogwetshwe yiNkantolo yesiFunda yasePort Shepstone odilikajele abahlanu ngemuva kokuzivumela yena ukuthi ubedlwengula laba bantwana qede ababonge ngamaphakethe ama-chips noR2. 
","crime, law and justice"
169,"UMHOLI weDA, uMnuz Mmusi Maimane, ufunge wagomela ukuthi uzokwenza isiqiniseko sokuthi bayajeziswa bonke abantu abanukeka enkohlakalweni yokugixabeza umndeni wakwaGupta ngezigidi zemali yasepulazini laseFree State.
Ethula inkulumo enkundleni yezemidlalo iPholani, eNtuzuma, izolo uMaimane uthe ngeke aphumule uNobhala-jikelele we-ANC, uMnuz Ace Magashule noNgqongqoshe wezokuMbiwa Phansi uMnuz Mosebenzi Zwane bengaboshiwe mayelana nokuxhaphaza imali yabantu eFree State. UMagashule ubenguNdunankulu waseFree State kanti uZwane enguNgqongqoshe wezoLimo ngesikhathi okusolwa ukuthi kwaphuma ngaso izigidi zemali eyanikwa abakwaGupta.
","crime, law and justice"
170,"USAMUKELE isigwebo esinikwe iphoyisa elabulala indodakazi yakhe yize ekhale ngokuthi asenele, unina wentombazane eyayineminyaka engu-17 eyadutshulwa yabulawa kunombhikisho wezindlu eCator Manor ngo-2013.
UNksz Bandile Ngidi ekhuluma nephephandaba elinguzakwabo waleli, iThe Mercury uthe lesi sigwebo seminyaka engu-10 esinikwe uPhumlani Ndlovu kasenele kodwa singcono kunokuthi angagwetshwa.
","crime, law and justice"
171,"MHLELI: Kwelakho ngicela ukwedlulisa umbono wami ngodaba lwabadayisa amaDVD ukuthi basicabangele phela ukuthi sizele, bangasoneli izingane zethu.
Uyabona la maDVD omkhuba agcwele idolobha asifakela amahloni uma sihamba nezingane zethu ngoba zibona ukuthi uba njani umuntu omdala uma engagqokile. Thina sikhula besitshelwa ukuthi wabona umuntu omdala enqunu uvaleka amehlo yingakho nje ngingeke ngaba wuBen 10 ngoba ngisahamba emazwini abazali bami okuthi abubukwa ubuntu bomuntu omdala ngoba uvaleka amehlo.
",society
172,"INYUNYANA iNational Education, Health and Allied WorkersÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ Union (Nehawu), ithi zisaqhubeka iziteleka emanyuvesi ahlukene kuleli, ezinye eziqale ngeledlule.
INehawu ithumele isitatimende kwabezindaba izolo icacisa ngokwenzeka e-Unisa, DUT, Wits nase-University of Pretoria. Esitatimende kuthiwa abasebenzi base-Unisa abangaphansi kwale nyunyana abasebenzi kuzo zonke izikhungo zenyuvesi kuleli. Lokhu kudalwe ukuthi abaphathi benyuvesi banqume ukuhoxa ezingxoxweni baya enkantolo yabasebenzi ngoba befuna ukuthi isiteleka esiqale ngeledlule sithathwe njengesingekho emthethweni kodwa bahluleka. Isitatimende siveza ukuthi izimfuno zisamile njengoba befuna ukunyuselwa umholo ngo-10% kuzo zonke izigaba. Bafuna kuqashwe ngokugcwele abasebenzi betoho abasemkhakheni wezobuchwepheshe okuthiwa sebebe yitoho iminyaka engaphezu kwengu-15. Le nyunyana ithi i-Unisa icabanga ukuthi ingaphezulu komthetho njengoba ingafuni ukuhlonipha iLabour Relations Act ngokuthi ibaqashe ngokugcwele yize benazo iziqu. 
","economy, business and finance"
173,"UKUNGABONI ngaso linye phakathi kwabangcwabi abamnyama nabamhlophe sekuxazululekile.
Lokhu kulandela umhlangano okade ukhona phakathi kukaNgqongqoshe wezokuThuthukiswa koMnotho nokuVakasha, uMnuz Sihle Zikalala, nabangcwabi kanjalo nalabo abathintekayo kulolu daba, izolo. Laba bahlanganisa iNational Funeral Practitioners Association of South Africa (Nafupa SA) lapho kuvunyelwane khona ngokuthi kusungulwe ikomiti elizobhekana ngqo noguquko emkhakheni wazabangcwabi okuvezwe ngabeNafupa SA.
","economy, business and finance"
174,"BAHLEZI lubhojozi osomatekisi bakasoseshini iDolphin Coast emuva kokubulawa kwePhini likaNobhala kasoseshini, uMnuz Dicky Govender, odutshulwe ngoyaba lwezinhlamvu nenkosikazi yakhe ngoMgqibelo ebusuku.
UGovender, omunye wabasunguli bakasoseshini iDolphin Coast, udutshulwe emuva kokudutshulwa kukaMnuz Nhlanhla Lephalo oyilungu lekomidi osinde ngokulambisa ngesikhathi edutshulwa esendleleni ebheke ekhaya ngabo -8 ekuseni ngamadoda abehamba nge-Audi emhlophe.
","crime, law and justice"
175,"SINCAMELE ukulala emgwaqweni Siyokwenza inhlolokhono yomfundaze eGoli, isitshudeni sase-University of South Africa (Unisa), osekuphele iminyaka emithathu singayitholi imali yokufunda.
USthembele Ngejane (25) waseMount Moriah, uphenduke isilomo ezinkundleni zokuxhumana emuva kwesibindi sakhe asikhombise ngesonto eledlule. Utshele Isolezwe ukuthi ubengeke aphuthwe yithuba lomfundaze akade ayewudinga. UNgejane ohlala nonina ongasebenzi nodadewabo ababili, waqeda * -matric ngo-2014 eShayamoya High eKokstad, nakhona awufunde esehlale iminyaka emibili ehleli ekhaya ngenxa yokulimala engozini yemoto. Uveze ukuthi sekukaningi impilo yakhe ibambezeleka kodwa akalilahli ithemba.
",education
176,"UKUNGENA ngo-6 ekuseni kuphunywe ngo-10 ebusuku nsuku zonke, ukubhalwa kwezivivinyo ngezimpelasonto ngezinye zezinto ezenza iBizimali High, eNhloshane eNkandla sikhiqize imiphumela emihle kwa-matric.
Lesi sikole esigcwele ngokweqile njengoba sinabafundi abevile ku-2 000, amagumbi okufundela angu-21 nothisha ababalelwa ku-60 sesizakhele igama ngokwenza kahle minyaka yonke nakuba sisuke semukele abafundi abasuke sebehlule kwezinye izikole abalethwa kusona ukuze baphume beqondile. 
",education
177,"AMAPHOYISA axwayisa umphakathi ukuthi uqaphele imisebenzi esolisayo ekhangiswa emaphephandabeni nakwi-internet, eminye yawo eyingxenye yomkhuba wokushushumbiswa kwabantu.
UCaptain Khephu Ndlovu okhulumela amaphoyisa eThekwini, uthe kujwayelekile ukuthi kusukela ngoDisemba ibe miningi imisebenzi ekhangiswayo, abanye abazithola sebegilekile ngenxa yayo. Ugcizelele ukuthi abantu balandelele ukuthola kabanzi ngomsebenzi okhangiswayo, ngaphambi kokwenza izinhlelo zokufaka izicelo.
","crime, law and justice"
178,"IPHINI likaMengameli waseNingizimu Afrika, uMnuz Cyril Ramaphosa lithembise ukuthi lizoletha abatshalizimali kuleli njengoba lizobacela ukuthi beze kuleli uma seluya emhlanganweni weWorld Economic Forum (WEF), eDavos, eSwitzerland ngesonto elizayo.
URamaphosa uzohamba nongqongqoshe ababhekele ezomnotho nosomabhizinisi ngoJanuwari 23 kuya kuJanuwari 26 uma eseyohlangana nabaholi bomhlaba engqungqutheleni yeWEF.
","economy, business and finance"
179,"IYASHUBA eyeziteleka emanyuvesi aKwaZulu-Natal njengoba izolo kuphazamiseke ukubhalisa eDurban University of Technology (DUT) nase-University of South Africa (Unisa) abasebenzi betelekela ukunyuselwa amaholo. Abasebenzi base-Unisa abangaphansi kweNational Education Health and Allied Workers Union (Nehawu) bafuna ukunyuselwa umholo ngo-12% kulo nyaka, umqashi uthi angabanika u-6%, abaseDUT bafuna u-10% umqashi uthi angabanika * -4%.
Izinyunyana zabasebenzi baseDUT abangaphansi kweNehawu, iTertiary Education National Union SA (Tenusa) neNational Tertiary Education Union (NTEU) bangenele isiteleka ngoMsombuluko. 
",education
